entropy,comp_ratio,byte_std_norm,size_bucket,is_compressible,high_entropy,byte_uniformity,unique_byte_ratio,algo
7.999823406703976,0.045789473684210526,0.015613049446517185,1,1,1,0.9963788093324728,1.0,CHACHA
5.856643281768424,0.7427064557046532,1.8498660042323911,1,1,0,0.0,0.2265625,AES
7.998415954436611,1.0003980995075683,0.04686185942669705,2,0,1,0.8347521669038264,1.0,CHACHA
7.996595256970841,1.0004914097790547,0.06892342657159645,1,0,1,0.8887124763038148,1.0,CHACHA
7.980305406232407,1.0011635286651153,0.16403882032042996,1,0,1,0.9526726377163897,1.0,CHACHA
7.999746221335572,0.053156146179401995,0.01870744118479538,1,1,1,0.9963913044516268,1.0,CHACHA
7.7407429397471255,0.9789261119453218,0.6110946142229703,1,0,1,0.6398293980563896,1.0,CHACHA
5.856097639096171,0.7432581714211449,1.8507606725251142,1,1,0,0.13081799348483325,0.2265625,AES
7.999127944162151,0.09093575828688764,0.03492484863534954,1,1,1,0.9963666134949369,1.0,CHACHA
4.259946130849695,0.026961770623742453,3.908196605139994,1,1,0,0.7036172923653294,0.08984375,AES
7.994944389938217,0.2347684809098294,0.08181353532864916,1,1,1,0.9969264995730723,1.0,CHACHA
4.260982885638139,0.016741527153940384,3.9057664158714855,1,1,0,0.41618518356510814,0.08984375,AES
7.995812568584617,1.0004669364521723,0.07605780939423938,1,0,1,0.8956108422944177,1.0,CHACHA
7.995955435571765,1.0004925299622394,0.07466215689960694,1,0,1,0.902851245613753,1.0,CHACHA
7.603811388632137,1.022680412371134,0.7014886316617883,0,0,1,0.9896172489515391,0.87109375,CHACHA
7.9859483774568,0.33489461358313816,0.14158453395964254,0,1,1,0.99631002221675,1.0,CHACHA
7.985330024252293,0.31777777777777777,0.14215276081528425,0,1,1,0.9960956578145216,1.0,CHACHA
7.998635724663622,1.000377609404116,0.043438340159205995,2,0,1,0.8385127209517116,1.0,CHACHA
7.997679865971259,0.16828849456210646,0.05577692651028637,1,1,1,0.9970262972835244,1.0,CHACHA
7.012493158021945,1.0555555555555556,1.1163786982097739,0,0,0,0.9932543035203389,0.55859375,CHACHA
4.260517362839489,0.00746984649122807,3.906936881744806,1,1,0,0.0,0.08984375,AES
4.695905804517685,0.6244736190240278,2.984800665119483,1,1,0,0.6322741612216994,0.1015625,RSA
7.997512749618803,0.22264728385615914,0.060162245242912735,1,1,1,0.9976003401326756,1.0,CHACHA
4.261973922587315,0.042112776588151324,3.9035404131986593,1,1,0,0.8331036340670372,0.08984375,AES
4.261228189177909,0.019151515151515152,3.905266643336349,1,1,0,0.5083854704662341,0.08984375,AES
7.998608279577848,1.0003545254299346,0.04384762372111094,2,0,1,0.7697611698889749,1.0,CHACHA
5.838826488833978,0.7486360093530787,1.8791373513673968,1,1,0,0.8528483140988543,0.2265625,RSA
5.850192486746771,0.7452048823016565,1.860440911109792,1,1,0,0.7395110198922203,0.2265625,AES
7.272318357481751,1.03886925795053,0.9119004259482695,0,0,1,0.9921243951250195,0.671875,CHACHA
7.988005789109521,1.000699612033327,0.12867240099076033,1,0,1,0.9382593945075157,1.0,CHACHA
7.219902384000811,1.0374149659863945,0.9831520715242962,0,0,1,0.9911789944754595,0.6640625,CHACHA
5.832126656014979,0.7501192179303767,1.8889263303520383,1,1,0,0.8791174769669121,0.2265625,AES
7.999946208739526,0.04320156651572635,0.008597424447281107,1,1,1,0.9978561537121968,1.0,CHACHA
4.695147767200529,0.6230748446365847,2.9864263585427446,1,1,0,0.6626964125681549,0.1015625,RSA
3.9068902249589392,0.00556043312847527,4.008325764814631,1,1,0,0.0,0.05859375,AES
7.994982670791428,0.21555555555555556,0.08452238118871652,1,1,1,0.9965177851988292,1.0,CHACHA
3.9068898181688927,0.008307372793354102,4.008326966451805,1,1,0,0.2932094356641074,0.05859375,AES
5.839795388545822,0.7481991857187598,1.8772041430824602,1,1,0,0.8170802969707551,0.2265625,RSA
6.595666984610165,1.088,1.366455268203098,0,0,0,0.9947873868247867,0.40234375,RSA
7.991102235777403,1.0007788541108893,0.11094638368393722,1,0,1,0.9304452038568383,1.0,CHACHA
5.811865984110446,0.7696693272519954,1.9209646797719402,0,1,0,0.9485874626416018,0.2265625,AES
5.855927838422776,0.743412204234122,1.8510592215412651,1,1,0,0.0,0.2265625,AES
7.730524302835263,0.9820725247860926,0.608953689732349,1,0,1,0.8631675409698705,1.0,CHACHA
5.853274688847646,0.7443857331571995,1.8553596361325464,1,1,0,0.5713784043724556,0.2265625,AES
7.727660864441053,0.9763350950540348,0.6118392490550021,1,0,1,0.763296931144096,1.0,CHACHA
7.997890757652066,1.0004217481460655,0.05415040551641833,1,0,1,0.8589409037940688,1.0,CHACHA
7.995642400613956,1.000456988662329,0.07764220475093377,1,0,1,0.8911165699792585,1.0,CHACHA
7.74235057301197,0.979357212201727,0.6060955975351325,1,0,1,0.6380036334423804,1.0,CHACHA
